open_time,open,high,low,close,volume,close_time,quote_asset_volume,trades,taker_base_vol,taker_quote_vol,ignore
2018-12-30 08:00:00,3724.93,3787.39,3718.01,3769.21,1400.513084,2018-12-30 08:59:59.999,5242376.20031050,9213,804.20144800,3012754.05131416,0
2018-12-30 09:00:00,3769.17,3825.0,3746.0,3798.69,2566.297937,2018-12-30 09:59:59.999,9729060.64108510,14192,1468.96879200,5570574.07160715,0
2018-12-30 10:00:00,3798.92,3805.67,3780.94,3804.75,1347.555842,2018-12-30 10:59:59.999,5108722.59188104,8062,744.62940300,2823312.31383909,0
2018-12-30 11:00:00,3805.67,3810.64,3776.14,3785.93,1379.041726,2018-12-30 11:59:59.999,5231062.18992441,8609,662.71380600,2513873.63849682,0
2018-12-30 12:00:00,3785.92,3903.5,3720.41,3776.77,3880.770826,2018-12-30 12:59:59.999,14688663.11998407,19274,2101.82704000,7961169.01016982,0
2018-12-30 13:00:00,3775.35,3794.0,3751.18,3762.95,1415.483202,2018-12-30 13:59:59.999,5346859.36446184,9108,747.11741000,2822998.22300094,0
2018-12-30 14:00:00,3765.19,3783.0,3742.3,3777.41,1320.812851,2018-12-30 14:59:59.999,4979943.87229750,8358,748.93668800,2823761.05940803,0
2018-12-30 15:00:00,3777.75,3807.02,3763.01,3768.0,1203.718806,2018-12-30 15:59:59.999,4556512.91403431,9167,563.15290700,2131331.82751576,0
2018-12-30 16:00:00,3768.0,3785.92,3762.04,3774.14,815.218458,2018-12-30 16:59:59.999,3076153.86102426,7283,443.55868100,1673595.92371671,0
2018-12-30 17:00:00,3773.75,3797.18,3769.0,3787.24,772.980513,2018-12-30 17:59:59.999,2925515.96085992,7583,426.59289500,1614751.69603987,0
2018-12-30 18:00:00,3787.24,3795.0,3772.0,3781.71,655.962446,2018-12-30 18:59:59.999,2481331.93988898,6735,319.35765900,1208158.90256657,0
2018-12-30 19:00:00,3781.77,3809.85,3735.57,3780.12,1582.89436,2018-12-30 19:59:59.999,5983186.85763062,11279,724.35996000,2739623.37593629,0
2018-12-30 20:00:00,3779.31,3798.99,3745.0,3784.44,1628.182558,2018-12-30 20:59:59.999,6157614.32195873,9139,910.35548200,3443662.44216781,0
