timestamp,symbol,signal,probability,close_price,model_version,evaluated,outcome,profit_loss
2025-10-12 02:28:34,BTCUSDT,SELL 📉,0.3,3620.03,v1,True,UP,107348.94
2025-10-12 02:31:34,BTCUSDT,SELL 📉,0.3,3620.03,v1,True,UP,107363.96
2025-10-12 02:34:21,BTCUSDT,SELL 📉,0.3,3620.03,v1,True,UP,107363.96
2025-10-12 02:51:07,BTCUSDT,SELL 📉,0.3,3620.03,v1,True,UP,107363.97
2025-10-12 03:10:41,BTCUSDT,HOLD 🤔,0.4633333333333333,3619.98,v1,True,UP,107364.01
2025-10-12 03:25:49,BTCUSDT,HOLD 🤔,0.4633333333333333,3619.98,v1,True,UP,107367.19
2025-10-12 06:20:05,BTCUSDT,HOLD 🤔,0.42,3640.95,v1,True,UP,108059.06
2025-10-12 06:27:11,BTCUSDT,HOLD 🤔,0.42,3640.95,v1,True,UP,107980.05
2025-10-12 06:46:14,BTCUSDT,HOLD 🤔,0.42,3640.95,v1,True,UP,107952.12
2025-10-12 06:56:11,BTCUSDT,HOLD 🤔,0.42,3640.95,v1,True,UP,107863.89
2025-10-12 12:05:12,BTCUSDT,HOLD 🤔,0.3733333333333333,3637.61,v1,False,,
2025-10-12 13:00:54,BTCUSDT,SELL 📉,0.3166666666666666,3635.86,v1,False,,
2025-10-12 10:08:41,BTCUSDT,SELL 📉,0.3166666666666666,3635.86,v1,True,UP,108107.0
2025-10-12 10:11:42,BTCUSDT,SELL 📉,0.3166666666666666,3635.86,v1,False,,
