open_time,open,high,low,close,volume,close_time,quote_asset_volume,trades,taker_base_vol,taker_quote_vol,ignore,rsi_14,roc_10,sma_20,ema_20,ema_50,ema_200,macd,macd_signal,macd_hist,atr_14,bb_upper,bb_middle,bb_lower,bb_width,volume_ema_20,volume_ratio
2018-12-30 08:00:00,3724.93,3787.39,3718.01,3769.21,1400.513084,2018-12-30 08:59:59.999,5242376.2003105,9213,804.201448,3012754.05131416,0,,,,,,,,,,,,,,,,
2018-12-30 09:00:00,3769.17,3825.0,3746.0,3798.69,2566.297937,2018-12-30 09:59:59.999,9729060.6410851,14192,1468.968792,5570574.07160715,0,100.0,,,,,,,,,,,,,,,
2018-12-30 10:00:00,3798.92,3805.67,3780.94,3804.75,1347.555842,2018-12-30 10:59:59.999,5108722.59188104,8062,744.629403,2823312.31383909,0,100.0,,,,,,,,,,,,,,,
2018-12-30 11:00:00,3805.67,3810.64,3776.14,3785.93,1379.041726,2018-12-30 11:59:59.999,5231062.18992441,8609,662.713806,2513873.63849682,0,95.0514426092803,,,,,,,,,,,,,,,
2018-12-30 12:00:00,3785.92,3903.5,3720.41,3776.77,3880.770826,2018-12-30 12:59:59.999,14688663.11998407,19274,2101.82704,7961169.01016982,0,92.64831585514058,,,,,,,,,,,,,,,
2018-12-30 13:00:00,3775.35,3794.0,3751.18,3762.95,1415.483202,2018-12-30 13:59:59.999,5346859.36446184,9108,747.11741,2822998.22300094,0,88.99262683085574,,,,,,,,,,,,,,,
2018-12-30 14:00:00,3765.19,3783.0,3742.3,3777.41,1320.812851,2018-12-30 14:59:59.999,4979943.8722975,8358,748.936688,2823761.05940803,0,89.46119007787928,,,,,,,,,,,,,,,
2018-12-30 15:00:00,3777.75,3807.02,3763.01,3768.0,1203.718806,2018-12-30 15:59:59.999,4556512.91403431,9167,563.152907,2131331.82751576,0,86.86964602189644,,,,,,,,,,,,,,,
2018-12-30 16:00:00,3768.0,3785.92,3762.04,3774.14,815.218458,2018-12-30 16:59:59.999,3076153.86102426,7283,443.558681,1673595.92371671,0,87.13159226209672,,,,,,,,,,,,,,,
2018-12-30 17:00:00,3773.75,3797.18,3769.0,3787.24,772.980513,2018-12-30 17:59:59.999,2925515.96085992,7583,426.592895,1614751.69603987,0,87.69559841249443,,,,,,,,,,,,,,,
2018-12-30 18:00:00,3787.24,3795.0,3772.0,3781.71,655.962446,2018-12-30 18:59:59.999,2481331.93988898,6735,319.357659,1208158.90256657,0,85.98240214358235,0.3316344804348922,,,,,,,,,,,,,,
2018-12-30 19:00:00,3781.77,3809.85,3735.57,3780.12,1582.89436,2018-12-30 19:59:59.999,5983186.85763062,11279,724.35996,2739623.37593629,0,85.46541894857945,-0.48885273607480906,,,,,,,,,,,,,,
2018-12-30 20:00:00,3779.31,3798.99,3745.0,3784.44,1628.182558,2018-12-30 20:59:59.999,6157614.32195873,9139,910.355482,3443662.44216781,0,85.71670396618623,-0.5338064261778026,,,,,,,,,,,,,,
2018-12-30 21:00:00,3783.92,3823.0,3764.28,3795.91,1543.980373,2018-12-30 21:59:59.999,5854247.14999576,9740,787.807566,2987524.89018683,0,86.38952817979994,0.26360762084877476,,,,,,,,55.73428571428563,,,,,,
2018-12-30 22:00:00,3794.01,3800.0,3785.12,3794.93,714.123572,2018-12-30 22:59:59.999,2708047.78653479,5874,432.928463,1641802.70964506,0,86.01670464765168,0.4808341519340562,,,,,,,,52.81612244897952,,,,,,
2018-12-30 23:00:00,3794.92,3812.54,3776.06,3801.91,1227.688563,2018-12-30 23:59:59.999,4659011.56044577,8505,714.063127,2709731.00416251,0,86.46475054916115,1.0353578973943325,,,,,,,,51.6492565597667,,,,,,
2018-12-31 00:00:00,3803.12,3810.0,3786.02,3795.38,891.449078,2018-12-31 00:59:59.999,3383630.81245515,6931,477.765205,1813881.38375051,0,83.76081512660153,0.4757227836004102,,,,,,,,49.67288109121194,,,,,,
2018-12-31 01:00:00,3795.38,3797.46,3745.59,3762.94,1516.971703,2018-12-31 01:59:59.999,5717091.17445275,10194,776.438232,2926858.47252708,0,71.75570837654095,-0.13428874734607074,,,,,,,,49.82981815612537,,,,,,
2018-12-31 02:00:00,3762.65,3767.6,3715.73,3727.93,2433.820706,2018-12-31 02:59:59.999,9107482.79097608,12234,1414.04736,5291089.92197904,0,61.509498127486204,-1.2243848929822434,,,,,,,,49.97554543068784,,,,,,
2018-12-31 03:00:00,3727.93,3751.58,3725.48,3744.58,1542.540127,2018-12-31 03:59:59.999,5768977.00711163,8283,927.822913,3469839.66721542,0,64.13259074806845,-1.1264139584499493,3778.7470000000008,3778.7469999999994,,,,,,48.27014932849584,3740.104643582804,3778.7470000000008,3817.3893564171976,-77.28471283439376,1492.0003365500002,1.0338738465480943
2018-12-31 04:00:00,3744.59,3756.06,3731.76,3753.72,921.690482,2018-12-31 04:59:59.999,3455046.57383524,6443,441.286099,1654341.3188014,0,65.52165736550234,-0.7401413646207731,3777.9725000000008,3776.363476190476,,,,,,46.55799580503184,3737.929759742016,3777.9725000000008,3818.0152402579856,-80.08548051596972,1437.685112307143,0.641093431454476
2018-12-31 05:00:00,3753.78,3755.6,3735.0,3747.45,664.03812,2018-12-31 05:59:59.999,2487555.71995397,5970,354.540532,1328232.03804614,0,63.69917676457096,-0.8642582775150015,3775.4105000000004,3773.609811791383,,,,,,44.70385324752956,3734.4037449852212,3775.4105000000004,3816.4172550147796,-82.01351002955835,1364.0044463731294,0.486829879305503
2018-12-31 06:00:00,3747.82,3759.53,3742.48,3757.45,592.267815,2018-12-31 06:59:59.999,2221281.76662378,5244,351.884497,1319790.94624848,0,65.35435160442883,-0.7131834564691272,3773.0455,3772.0707820969656,,,,,,42.72857801556317,3733.7429218202046,3773.0455,3812.3480781797957,-78.60515635959109,1290.5057195756885,0.45894241770174765
2018-12-31 07:00:00,3757.0,3763.12,3750.76,3754.45,603.916201,2018-12-31 07:59:59.999,2268754.94075987,5624,346.21723,1300651.20195113,0,64.40559042591454,-1.0922282140514405,3771.4714999999997,3770.392612373445,,,,,,40.55939387159435,3731.8216566871083,3771.4714999999997,3811.121343312891,-79.29968662578267,1225.1162416160992,0.492946040943307
2018-12-31 08:00:00,3755.35,3761.0,3743.15,3752.21,827.945125,2018-12-31 08:59:59.999,3106201.28079095,6060,439.681566,1649826.73277208,0,63.662439337910946,-1.1257124637345037,3770.2434999999996,3768.6609350045455,,,,,,38.9372943093376,3729.771821910644,3770.2434999999996,3810.715178089355,-80.94335617871093,1187.2904209859946,0.6973400192283422
2018-12-31 09:00:00,3751.85,3791.63,3751.04,3775.59,1341.456912,2018-12-31 09:59:59.999,5055946.39515412,8165,681.587709,2569584.75686868,0,67.8342824512694,-0.6922836153407027,3770.8754999999996,3769.3208459564935,,,-10.40629270935733,,,39.0553447158135,3730.4886968010387,3770.8754999999996,3811.2623031989606,-80.77360639792187,1201.9729439397092,1.1160458467585002
